name	CD_1	CD_2	CD_3	CD_4	CD_5	CD_6	CD_7	CD_8	CD_9	CD_10	CD_11	CD_12	CD_13	CD_14	CT_11	CT_12	CT_13	CT_14	CT_15	CT_16	CT_17	CT_18	CT_19	CT_20	CT_21	CT_22	CT_23	CT_24	CT_25	CT_26	CT_27	CT_28	CT_1	CT_2	CT_3	CT_4	CT_5	CT_6	CT_7	CT_8	CT_9	CD_28	CD_15	CD_16	CD_17	CD_18	CD_19	CD_20	CD_21	CD_22	CD_29	CD_30	CD_31	CD_32	CT_10	CD_23	CD_24	CD_25	CD_26	CD_27
g__Nitrospira	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Negativibacillus	0	0	0	0	0	0	0	0	905	0	4	0	0	2	0	6	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	8	0	4	0	68	6	0	21	0	0	0	0	0	3	20	21	0	0	0	0	1	48	0	0	3	0	7
g__Mycobacterium	18	23	35	12	6	9	18	5	24	34	21	15	7	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	35	12	40	25	24	30	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	32	10	25	18	15	14
g__Muribaculaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0	0	6	1	0	1	0	0	0	0	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
g__Moryella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	13	0	0	0	0	0	0	18	0	0	0	0	19	7	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Morganella	17	12	699	301	72	0	15	405	16	0	17	0	4	1	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	13	0	3	0	5	0	3	0	0	37	89	31	17	35	10	12	46	34	2046	9	15	12	6	4	0	73	5	0
g__Monoglobus	0	0	79	3	5	45	7	8	26	0	14	0	74	8	14	118	120	0	58	115	0	27	8	163	41	136	22	429	18	9	7	85	81	148	55	141	660	317	299	266	164	0	0	2	0	0	4	8	41	0	0	4	28	0	458	6	75	6	200	22
g__Mogibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
g__Mitochondria	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	0	0
g__Microbacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	2	0	0	7	0	0	2	2	0	8	0	0	0	0	0	0	0
g__Methyloversatilis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	1	0	3	2	1	0	2	0	0	0	0	0	0	0
g__Methylobacterium-Methylorubrum	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0
g__Megasphaera	14	0	0	0	54	0	0	0	0	0	12	0	0	0	45	267	150	29	36	3058	61	40	44	44	525	94	17	74	54	18562	17	32	0	12	0	13	4	286	7	0	0	7731	19	50	601	20	88	49	538	23	83	45	50	35	0	0	0	27	9	0
g__Megamonas	28	53	1028	56	7	60	35	10	12	76	114	44	3392	75	11	5332	12334	33	39	3343	26	29	30	51	26	65	29	3824	34	710	15	396	74	44	58	48	58	1991	28	32	48	145	28	63	1241	6455	91	82	330	55	10136	108	72	68	56	19	75	36	10839	73
g__Marvinbryantia	0	0	0	0	0	22	0	0	13	0	0	0	89	0	0	24	0	51	0	18	0	0	0	25	0	42	0	26	78	0	0	0	20	0	0	0	0	104	73	19	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0
g__Marinomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	22	15	0	18	11	17	34	6	19	19	10	5	0	0	0	0	0	0
g__Marinobacter	0	0	12	4	0	6	4	0	12	1	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	3	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	0	4	0	3
g__Lysobacter	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lutibacter	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
g__Limnohabitans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	27	0	4	0	0	11	26	5	19	0	16	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Leuconostoc	122	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	2	0
g__Lentimicrobium	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lactococcus	2169	8	23	15	0	7	49	5	5	4766	37	40	8	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	13	14	60	35	25	8	13	19	8	0	3	0	1	9	6	18	9	0	9	7	8	34	0	15	5542	15	15
g__Lactobacillus	32	10	125	24	282	20	45	16	71	69	31	1235	15	65	25	138	136	334	108	253	31	41	70	857	69	121	39	111	72	91	36	193	81	23	25	12638	38	22	9	85	14	0	0	6	0	0	0	0	8	89	0	4	0	0	11	2	41	100	42	15
g__Lachnospiraceae_UCG-010	2	11	183	0	0	148	0	20	0	10	10	8	17	9	0	4	2	88	15	15	0	0	0	8	0	122	55	6	0	0	0	16	43	9	37	0	13	53	124	70	99	12	2	6	12	5	10	320	31	6	7	13	23	5	11	0	420	3	6	129
